"Date","Country","Status","Color","Type","Value"
2022-07-03,"Morocco","Confirmed","#D6604D","Total Count",1225305
2022-07-03,"Morocco","Confirmed","#D6604D","Count per 10K",347.33820903138
2022-07-03,"Morocco","Confirmed","#D6604D","New Cases per 10K",0.487569804688607
2022-07-03,"Bulgaria","Confirmed","#D6604D","Total Count",1173274
2022-07-03,"Bulgaria","Confirmed","#D6604D","Count per 10K",1645.31482260553
2022-07-03,"Bulgaria","Confirmed","#D6604D","New Cases per 10K",0.256625999158603
2022-07-03,"Lithuania","Confirmed","#D6604D","Total Count",1162126
2022-07-03,"Lithuania","Confirmed","#D6604D","Count per 10K",3996.30674002751
2022-07-03,"Lithuania","Confirmed","#D6604D","New Cases per 10K",0.226960110041265
2022-07-03,"Croatia","Confirmed","#D6604D","Total Count",1151466
2022-07-03,"Croatia","Confirmed","#D6604D","Count per 10K",2733.12603845241
2022-07-03,"Croatia","Confirmed","#D6604D","New Cases per 10K",1.92974127699976
2022-07-03,"Finland","Confirmed","#D6604D","Total Count",1145610
2022-07-03,"Finland","Confirmed","#D6604D","Count per 10K",2081.79174995457
2022-07-03,"Finland","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Lebanon","Confirmed","#D6604D","Total Count",1115719
2022-07-03,"Lebanon","Confirmed","#D6604D","Count per 10K",1857.36474113534
2022-07-03,"Lebanon","Confirmed","#D6604D","New Cases per 10K",1.50657566172798
2022-07-03,"Cuba","Confirmed","#D6604D","Total Count",1106124
2022-07-03,"Cuba","Confirmed","#D6604D","Count per 10K",963.858487277797
2022-07-03,"Cuba","Confirmed","#D6604D","New Cases per 10K",0.0322411990240502
2022-07-03,"Tunisia","Confirmed","#D6604D","Total Count",1052180
2022-07-03,"Tunisia","Confirmed","#D6604D","Count per 10K",922.722090677892
2022-07-03,"Tunisia","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Slovenia","Confirmed","#D6604D","Total Count",1039632
2022-07-03,"Slovenia","Confirmed","#D6604D","Count per 10K",5003.04138594803
2022-07-03,"Slovenia","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Belarus","Confirmed","#D6604D","Total Count",982867
2022-07-03,"Belarus","Confirmed","#D6604D","Count per 10K",1036.77953586498
2022-07-03,"Belarus","Confirmed","#D6604D","New Cases per 10K",0
2022-07-03,"Nepal","Confirmed","#D6604D","Total Count",979801
2022-07-03,"Nepal","Confirmed","#D6604D","Count per 10K",338.060587240796
