Province/State,Country/Region,Lat,Long,Date,Value
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num
,Albania,41.1533,20.1683,2020-05-31,1137
,Albania,41.1533,20.1683,2020-05-30,1122
,Albania,41.1533,20.1683,2020-05-29,1099
,Albania,41.1533,20.1683,2020-05-28,1076
,Albania,41.1533,20.1683,2020-05-27,1050
,Albania,41.1533,20.1683,2020-05-26,1029
,Albania,41.1533,20.1683,2020-05-25,1004
,Albania,41.1533,20.1683,2020-05-24,998
,Albania,41.1533,20.1683,2020-05-23,989
,Albania,41.1533,20.1683,2020-05-22,981
,Albania,41.1533,20.1683,2020-05-21,969
,Albania,41.1533,20.1683,2020-05-20,964
,Albania,41.1533,20.1683,2020-05-19,949
,Albania,41.1533,20.1683,2020-05-18,948
,Albania,41.1533,20.1683,2020-05-17,946
,Albania,41.1533,20.1683,2020-05-16,933
,Albania,41.1533,20.1683,2020-05-15,916
,Albania,41.1533,20.1683,2020-05-14,898
,Albania,41.1533,20.1683,2020-05-13,880
,Albania,41.1533,20.1683,2020-05-12,876
,Albania,41.1533,20.1683,2020-05-11,872
,Albania,41.1533,20.1683,2020-05-10,868
,Albania,41.1533,20.1683,2020-05-09,856
,Albania,41.1533,20.1683,2020-05-08,850
,Albania,41.1533,20.1683,2020-05-07,842
,Albania,41.1533,20.1683,2020-05-06,832
,Albania,41.1533,20.1683,2020-05-05,820
,Albania,41.1533,20.1683,2020-05-04,803
,Albania,41.1533,20.1683,2020-05-03,795
,Albania,41.1533,20.1683,2020-05-02,789
,Albania,41.1533,20.1683,2020-05-01,782
,Albania,41.1533,20.1683,2020-04-30,773
,Albania,41.1533,20.1683,2020-04-29,766
,Albania,41.1533,20.1683,2020-04-28,750
,Albania,41.1533,20.1683,2020-04-27,736
,Albania,41.1533,20.1683,2020-04-26,726
,Albania,41.1533,20.1683,2020-04-25,712
,Albania,41.1533,20.1683,2020-04-24,678
,Albania,41.1533,20.1683,2020-04-23,663
,Albania,41.1533,20.1683,2020-04-22,634
,Albania,41.1533,20.1683,2020-04-21,609
,Albania,41.1533,20.1683,2020-04-20,584
,Albania,41.1533,20.1683,2020-04-19,562
,Albania,41.1533,20.1683,2020-04-18,548
,Albania,41.1533,20.1683,2020-04-17,539
,Albania,41.1533,20.1683,2020-04-16,518
